"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 23 07:34:25 GMT 2023","Mon Oct 23 07:34:37 GMT 2023","11848","Suite","Android","tests.ToDoAndroid","tests.ToDoAndroid","addTaskAndroidV2","addTaskAndroidV2",""
"passed","Mon Oct 23 07:33:23 GMT 2023","Mon Oct 23 07:33:49 GMT 2023","26030","Suite","Android","tests.ToDoAndroid","tests.ToDoAndroid","addTaskAndroidV2","addTaskAndroidV2",""
