"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Oct 22 11:18:00 GMT 2023","Sun Oct 22 11:18:00 GMT 2023","4","Suite","Android","tests.ToDoAndroid","tests.ToDoAndroid","addTaskAndroidV2","addTaskAndroidV2",""
"broken","Sun Oct 22 11:18:00 GMT 2023","Sun Oct 22 11:18:00 GMT 2023","2","Suite","Android","tests.ToDoAndroid","tests.ToDoAndroid","androidTestSetup","androidTestSetup",""
"skipped","Sun Oct 22 11:18:00 GMT 2023","Sun Oct 22 11:18:00 GMT 2023","1","Suite","Android","tests.ToDoAndroid","tests.ToDoAndroid","addTaskAndroidV2","addTaskAndroidV2",""
